year,StateCode,CountyCode,meanIncome,medianIncome,povertyPop,medianAge
2011,47,065,133444,133444,30170,39.4
2011,47,093,180706,180706,31677,37.3
2011,47,113,34199,34199,11485,36.9
2011,47,119,31325,31325,5182,38.3
2011,47,125,64000,64000,15062,30.3
2011,47,141,29055,29055,9977,36.9
2011,47,147,24771,24771,7306,37.4
2011,47,149,94768,94768,11923,33
2011,47,155,35873,35873,7668,41
2011,47,157,342041,342041,88441,34.6
2011,47,163,67075,67075,10170,44.1
2011,47,165,61478,61478,5188,38.9
2011,47,179,53237,53237,10689,40.2
2011,47,187,66274,66274,4547,38.7
2011,47,189,43566,43566,3824,40.1
2011,48,005,30706,30706,7761,36.8
2011,48,021,27748,27748,5856,41.8
2011,48,027,101634,101634,22574,30.1
2011,48,029,608722,608722,126468,32.8
2011,48,037,32028,32028,5140,36.3
2011,48,039,108627,108627,14539,35.4
2011,48,041,68707,68707,29978,24.3
2011,48,061,118782,118782,58961,30.6
2011,48,085,290609,290609,29513,35.3
2011,48,091,41647,41647,1439,42.8
2011,48,099,17817,17817,3082,29.6
2011,48,113,852266,852266,188090,32.5
2011,48,121,241661,241661,29118,33.1
2011,48,135,49905,49905,7622,31.2
2011,48,139,49819,49819,7153,35.2
2011,48,141,257285,257285,78785,31.2
2011,48,157,194513,194513,23056,35.2
2011,48,167,108966,108966,24935,37
2011,48,181,46447,46447,5465,40
2011,48,183,45443,45443,7664,35.4
2011,48,187,49217,49217,3515,36.8
2011,48,201,1417603,1417603,341279,32.3
2011,48,203,24238,24238,3778,36.7
2011,48,209,56754,56754,11281,30.7
2011,48,213,29567,29567,4410,43.3
2011,48,215,215877,215877,126391,28.3
2011,48,231,30913,30913,5217,37.4
2011,48,245,92904,92904,16819,35.8
2011,48,251,52562,52562,7563,36.1
2011,48,257,36007,36007,4904,35.9
2011,48,291,24215,24215,3091,36.5
2011,48,303,104390,104390,29712,30.4
2011,48,309,84117,84117,25341,32.6
2011,48,329,50842,50842,6587,33.2
2011,48,339,165692,165692,27137,36.2
2011,48,347,23198,23198,6283,29.3
2011,48,355,122780,122780,34944,35.2
2011,48,361,30786,30786,4795,38.5
2011,48,367,43364,43364,2983,39.2
2011,48,375,42442,42442,7676,32.6
2011,48,381,48977,48977,4164,35.5
2011,48,397,27513,27513,1896,35.9
2011,48,409,21525,21525,7254,37.2
2011,48,423,80332,80332,13019,35.6
2011,48,439,653266,653266,117162,33.6
2011,48,441,48414,48414,8650,32.9
2011,48,451,41711,41711,8725,33.9
2011,48,453,410683,410683,88890,32.1
2011,48,469,32489,32489,7952,37
2011,48,471,20400,20400,5501,35.7
2011,48,479,67463,67463,35719,28.3
2011,48,485,45805,45805,5173,34.6
2011,48,491,156738,156738,10642,34.6
2011,49,005,35306,35306,6289,25.7
2011,49,011,95981,95981,9393,29.8
2011,49,035,346530,346530,60167,31.1
2011,49,049,143178,143178,31034,24.4
2011,49,053,46216,46216,8405,32.8
2011,49,057,79548,79548,12609,31
2011,50,007,62328,62328,7545,35.9
2011,51,003,37395,37395,4419,37
2011,51,013,91386,91386,7278,33.9
2011,51,015,28445,28445,3928,42.7
2011,51,019,25858,25858,2583,42.1
2011,51,041,110729,110729,10428,37.8
2011,51,059,391386,391386,28646,37.6
2011,51,061,22895,22895,1028,42.2
2011,51,069,28572,28572,2263,39
2011,51,085,36328,36328,2936,41.6
2011,51,087,123503,123503,17374,38.1
2011,51,095,26944,26944,3288,44.7
2011,51,107,106492,106492,6572,35.3
2011,51,121,33946,33946,14104,26.9
2011,51,153,131840,131840,10634,33.6
2011,51,161,37931,37931,2372,43.5
2011,51,165,28734,28734,2885,40.9
2011,51,177,42896,42896,2353,35.8
