Year,StateCode,CountyCode,population,medianRealEstateTax,medianHouseholdCosts,totalHouses,medianHomeVal
2011,12,127,494804,1477,858,137768,128600
2011,13,013,69912,1186,1024,17179,121400
2011,13,015,100421,970,842,21364,129200
2011,13,021,156433,1457,800,30720,131400
2011,13,031,72881,1091,802,12696,138400
2011,13,045,111159,1060,837,25855,115800
2011,13,051,271544,1435,974,58043,165600
2011,13,057,218286,1642,1209,59295,175200
2011,13,059,117344,1602,788,18143,157100
2011,13,063,261532,1076,928,48374,88800
2011,13,067,697553,1606,1162,168206,193300
2011,13,073,128112,1581,1114,36456,162800
2011,13,077,129629,1751,1075,32731,182800
2011,13,089,699893,1979,1103,149045,163700
2011,13,095,94788,1350,699,16647,101400
2011,13,097,133355,1286,1008,33456,127600
2011,13,113,107784,2430,1324,32773,221100
2011,13,115,95989,1068,717,22457,107500
2011,13,117,181840,2099,1586,41274,252400
2011,13,121,949599,2706,1138,193610,230500
2011,13,127,80386,1180,863,19994,162400
2011,13,135,824941,2182,1242,175480,166400
2011,13,139,183052,1445,969,42368,161600
2011,13,151,207360,1791,1227,51406,146000
2011,13,153,143925,1294,896,35809,125500
2011,13,179,65451,1634,978,13123,139900
2011,13,185,111885,1111,777,20349,135000
2011,13,215,194107,844,830,36778,131200
2011,13,217,100814,1404,1021,24661,125100
2011,13,223,143542,1352,1134,38026,130000
2011,13,245,201217,1086,800,38632,106100
2011,13,247,85765,1260,1032,20575,143200
2011,13,285,67764,1177,807,14987,107900
2011,13,295,68848,817,588,19347,105400
2011,13,297,84580,1813,1021,22589,155500
2011,13,313,103184,782,724,21957,121400
2011,15,001,186738,727,1029,42462,290400
2011,15,003,963607,1567,1551,168912,544300
2011,15,007,67701,1034,1358,13559,479700
2011,15,009,156693,856,1294,29767,527900
2011,16,001,400842,1456,965,101252,173400
2011,16,005,83691,1345,693,19596,143000
2011,16,019,105772,1212,778,25956,150400
2011,16,027,191694,1235,811,44677,105800
2011,16,055,141132,1259,939,39788,184800
2011,16,083,78005,1175,675,17173,158200
2011,17,001,67159,1487,614,19056,98700
2011,17,019,201685,3040,871,42116,149600
2011,17,031,5217080,4241,1150,1105191,224900
2011,17,037,104743,4500,961,22775,168400
2011,17,043,923222,6064,1496,249016,277700
2011,17,089,520271,5538,1406,122582,219200
2011,17,091,113698,2897,891,29074,138200
2011,17,093,116631,5760,1775,33599,206800
2011,17,097,706222,6764,1591,184215,254200
2011,17,099,113518,2820,788,32844,123400
2011,17,111,308944,5657,1519,91269,215700
2011,17,113,170556,3517,912,41959,157500
2011,17,115,110730,1965,664,29317,94700
2011,17,119,268459,2425,830,77013,123500
2011,17,143,186834,2617,744,49280,120900
2011,17,161,147556,2360,727,43240,112700
2011,17,163,270259,2712,876,70282,131700
2011,17,167,198844,2428,830,58099,128700
2011,17,179,135661,2431,749,41448,128700
2011,17,183,81509,1365,627,22040,76900
2011,17,197,681545,5392,1531,181509,216600
2011,17,199,66622,1383,664,19022,96800
2011,17,201,293993,3382,886,75668,124700
2011,18,003,358327,985,724,94730,111700
2011,18,005,77870,1170,813,20914,139100
2011,18,019,111570,1060,819,29537,132100
2011,18,035,117660,822,681,29423,90700
2011,18,039,198941,1134,778,51850,122000
2011,18,043,74989,1195,815,20693,148900
2011,18,053,69793,628,629,18997,82500
2011,18,057,282810,2074,1272,83445,210000
2011,18,059,70529,1351,988,21178,148500
2011,18,063,147979,1734,1029,43502,160100
2011,18,067,82800,622,646,23605,97300
2011,18,081,141656,1376,996,38370,146700
2011,18,085,77336,786,759,22388,127500
2011,18,089,495558,1675,879,125586,135200
2011,18,091,111374,981,785,30674,119300
2011,18,095,131235,820,694,35043,93800
2011,18,097,911296,1235,818,198896,116200
2011,18,105,139799,1114,829,29252,158800
2011,18,109,69464,713,891,18554,141800
2011,18,127,165537,1524,944,46135,161900
2011,18,141,266700,1142,748,69831,112500
2011,18,157,174724,1016,831,34503,133700
2011,18,163,180305,836,754,47222,110600
2011,18,167,108182,899,699,24689,92900
2011,18,177,68643,902,688,19663,89100
2011,19,013,131549,1866,709,35199,126200
2011,19,049,69444,2754,1118,20217,178900
2011,19,061,94648,1933,776,27949,146800
2011,19,103,133038,2780,952,32614,180500
2011,19,113,213875,2247,900,64129,144800
2011,19,153,437399,2618,947,116839,150400
2011,19,155,93518,2106,820,25460,125100
2011,19,163,167095,2210,826,44567,146600
2011,19,169,89663,2169,741,19154,160500
2011,19,193,102509,1564,648,25797,98500
2011,20,015,65817,2086,863,17817,124800
2011,20,045,112211,2267,994,22359,173700
2011,20,091,552991,2773,1214,152299,209900
2011,20,103,75527,2333,982,16912,168900
2011,20,161,72997,2253,856,10549,174200
2011,20,173,501076,1597,815,125639,125600
2011,20,177,178941,1802,758,46476,115000
2011,20,209,158224,1563,769,35423,89900
2011,21,015,121737,1570,1082,33642,171300
2011,21,029,75109,1254,862,22014,138000
2011,21,037,90940,1685,836,24267,143000
2011,21,047,73591,840,722,13098,96600
2011,21,059,97234,949,628,25479,106800
2011,21,067,301569,1468,858,70899,163400
2011,21,093,107456,964,792,24244,138400
2011,21,111,746906,1371,809,190131,147400
2011,21,117,160406,1486,889,40815,145400
2011,21,145,65864,773,634,18639,125600
2011,21,151,84188,1121,659,18498,146500
2011,21,195,64904,449,518,18842,71900
2011,21,227,115517,997,713,26603,137300
2011,22,005,109985,794,888,29766,162000
2011,22,015,119732,828,827,29118,160600
2011,22,017,257051,597,736,62489,126400
2011,22,019,194092,441,678,49370,123400
2011,22,033,441438,790,868,102841,165500
2011,22,045,73400,314,592,19848,98900
2011,22,051,432640,784,882,104258,172000
2011,22,055,224390,876,807,55511,165400
2011,22,057,96666,464,526,26646,135500
2011,22,063,130251,854,844,38750,154800
2011,22,071,360740,1220,936,67090,185400
2011,22,073,154919,559,657,33124,115400
