Year,StateCode,CountyCode,population,medianRealEstateTax,medianHouseholdCosts,totalHouses,medianHomeVal
2012,30,111,151882,1727,794,41652,185100
2012,31,055,531265,2957,925,126549,142300
2012,31,109,293407,2762,842,67591,148600
2012,31,153,165853,3346,1098,43161,159800
2012,32,003,2000759,1483,1062,376102,145200
2012,32,031,429908,1677,1011,93233,176500
2012,33,005,76851,4801,1124,22061,191800
2012,33,009,89181,3980,1059,25223,210700
2012,33,011,402922,5387,1364,104741,242300
2012,33,013,146761,5160,1243,40203,226100
2012,33,015,297820,5873,1499,87209,281400
2012,33,017,124119,4760,1098,29072,213000
2012,34,001,275422,5406,1234,64897,226800
2012,34,003,918888,9329,1730,219807,433000
2012,34,005,451336,5988,1493,126351,238700
2012,34,007,513539,6239,1268,126421,197900
2012,34,009,96304,4182,1205,29689,305900
2012,34,011,157785,4148,1075,34006,165300
2012,34,013,787744,9260,1312,126170,348000
2012,34,015,289586,6083,1472,85156,217700
2012,34,017,652302,7354,1343,79888,335000
2012,34,019,127050,8476,2037,38620,383600
2012,34,021,368303,6871,1419,86024,272900
2012,34,023,823041,7031,1532,187331,318400
2012,34,025,629384,7360,1763,177977,373500
2012,34,027,497999,8592,1891,136458,418100
2012,34,029,580470,4885,1360,182764,262700
2012,34,031,502885,8668,1387,86544,331400
2012,34,033,65774,4685,1136,17598,185800
2012,34,035,327707,8268,1849,89911,393700
2012,34,037,147442,6829,1777,46098,270600
2012,34,039,543976,8797,1473,109258,348100
2012,34,041,107653,6525,1389,30513,259500
2012,35,001,673460,1749,878,166000,181600
2012,35,005,65784,598,598,14617,96300
2012,35,013,214445,927,716,48083,132900
2012,35,025,66338,474,583,14887,94100
2012,35,031,73016,961,389,13315,83900
2012,35,035,66041,576,646,14608,113100
2012,35,043,135588,1697,1015,39655,176400
2012,35,045,128529,857,651,29805,145700
2012,35,049,146375,1342,961,42035,270200
2012,35,061,76631,900,696,20293,134700
2012,36,001,305455,3990,979,71181,206900
2012,36,005,1408473,3281,1056,91116,357700
2012,36,007,198060,3004,732,53948,109000
2012,36,009,79458,2442,646,23456,81500
2012,36,011,79552,2975,749,21703,108600
2012,36,013,133539,2331,633,36199,84800
2012,36,015,88911,2321,706,24469,95500
2012,36,019,81654,2512,785,21956,131400
2012,36,027,297322,5639,1409,74277,275900
2012,36,029,919086,3429,797,247295,127200
2012,36,045,120262,2136,864,26530,128500
2012,36,047,2565635,3445,1212,273302,537500
2012,36,051,64810,3397,848,18508,123900
2012,36,053,72382,2897,809,19531,120700
2012,36,055,747813,4170,910,190550,136900
2012,36,059,1349233,9934,2109,354633,442500
2012,36,061,1619090,6310,1547,164659,742700
2012,36,063,215124,3236,784,61178,107600
2012,36,065,233556,2792,741,60483,112400
2012,36,067,466852,3602,874,120322,133500
2012,36,069,108519,3291,917,30980,134800
2012,36,071,374512,6426,1537,86492,263200
2012,36,075,121700,2435,752,33130,94400
2012,36,079,99607,8498,1975,28577,356200
2012,36,081,2272771,3472,1357,340026,439400
2012,36,083,159835,4232,999,42066,181800
2012,36,085,470728,3503,1465,110022,434000
2012,36,087,317757,9835,1803,67060,415300
2012,36,089,112232,2088,701,29582,89500
2012,36,091,222133,3635,1146,61008,228200
2012,36,093,155124,4418,982,37801,169300
2012,36,101,99063,2430,673,29102,89300
2012,36,103,1499273,8226,1975,392268,374800
2012,36,105,76793,3793,875,19716,165900
2012,36,109,102554,4555,1072,21196,174600
2012,36,111,181791,4927,1152,48938,220600
2012,36,113,65538,3034,924,19698,185000
2012,36,117,92962,3312,851,28610,103800
2012,36,119,961670,10001,1724,209605,506200
2012,37,001,153920,1080,764,38016,143600
2012,37,019,112257,1055,868,33914,174100
2012,37,021,244490,1289,814,64216,185900
2012,37,023,90505,748,575,23986,107000
2012,37,025,184498,1538,984,46803,160500
2012,37,027,81930,765,584,22336,101900
2012,37,031,67632,1053,847,20334,204500
2012,37,035,154339,965,706,40909,130200
2012,37,037,65976,1822,844,20801,222700
2012,37,045,97474,865,627,25023,102500
2012,37,049,104770,1070,902,25994,151000
2012,37,051,324049,1414,893,66081,124500
2012,37,057,163260,970,712,45634,131800
2012,37,063,279641,2116,963,60279,176600
2012,37,067,358137,1528,788,85864,153800
2012,37,071,208049,1260,755,54272,121000
2012,37,081,500879,1602,829,119459,147700
2012,37,085,122135,1120,854,28721,133400
2012,37,089,108266,1060,724,33116,180800
2012,37,097,162708,1102,825,42835,163300
2012,37,101,174938,1238,875,44348,141000
2012,37,109,79313,1202,793,23729,144200
2012,37,119,969031,2111,1045,212717,178900
2012,37,125,90302,1372,813,28133,206500
2012,37,127,95708,1047,766,23625,115300
2012,37,129,209234,1540,1031,51488,195000
2012,37,133,183263,1038,956,33250,154200
2012,37,135,137941,3274,1000,31048,271400
2012,37,147,172554,1226,756,35840,130700
2012,37,151,142466,864,663,41077,120300
2012,37,155,135496,694,542,29510,71600
2012,37,157,92720,958,612,27167,99300
2012,37,159,138180,954,709,35161,126800
2012,37,161,67323,693,604,20453,110700
2012,37,171,73561,847,581,21153,113400
2012,37,179,208520,1565,1038,52663,192200
2012,37,183,952151,1930,1100,224825,227400
2012,37,191,124246,911,663,28195,105300
2012,37,193,69306,777,516,22281,114600
2012,37,195,81867,1150,734,18439,110500
2012,38,015,85774,2254,769,24897,177600
2012,38,017,156157,2709,779,35168,161200
2012,38,035,67472,2450,726,14223,156500
2012,39,003,105141,1296,696,27564,103500
2012,39,007,100389,1371,667,27949,103300
2012,39,013,69671,1027,540,20338,97800
2012,39,017,370589,2193,924,95910,152100
2012,39,023,137206,1463,685,35114,101300
2012,39,025,199085,2412,921,53427,154800
2012,39,029,106507,1126,648,29098,105000
2012,39,035,1265111,2817,822,314746,122300
2012,39,041,181061,4302,1484,52766,242100
2012,39,043,76398,1903,706,21872,138600
2012,39,045,147474,2280,969,39435,160700
2012,39,049,1195537,3057,931,252351,147500
2012,39,055,93680,3153,1130,28646,217900
2012,39,057,163587,2636,924,41671,158000
2012,39,061,802038,2482,887,191084,141100
2012,39,063,75671,1498,779,21759,124600
2012,39,081,68389,842,596,20096,86600
2012,39,085,229582,2559,911,68774,150100
2012,39,089,167537,2095,923,45144,147000
2012,39,093,301478,2234,823,83728,136500
2012,39,095,437998,2088,736,108548,101500
2012,39,099,235145,1480,650,65532,97400
2012,39,101,66238,1065,716,16236,99300
2012,39,103,173684,2739,986,51707,179000
2012,39,109,103060,1621,802,29592,141100
2012,39,113,534325,2299,806,132815,106500
2012,39,119,85950,1374,633,23030,102900
2012,39,133,161451,2060,896,41125,144500
2012,39,139,122673,1435,646,34207,96800
2012,39,141,77429,1267,707,20500,105700
2012,39,145,78477,1069,554,19905,93100
2012,39,151,374868,1702,734,103589,118700
2012,39,153,540811,2254,829,147024,127000
2012,39,155,207406,1477,656,60643,94200
2012,39,157,92392,1385,648,25763,113400
2012,39,165,217241,3038,1208,59327,191100
2012,39,169,114848,1847,715,30250,133200
2012,39,173,128200,2103,878,34522,141900
2012,40,017,122560,1357,1026,33171,138400
2012,40,027,265638,1514,918,65387,141700
2012,40,031,126390,1040,777,25286,111900
2012,40,037,70651,795,675,19949,104000
2012,40,101,70596,680,640,16775,86400
2012,40,109,741781,1372,819,167141,126900
2012,40,119,78399,1141,692,15519,132400
2012,40,125,70760,719,629,18052,105200
2012,40,131,88367,1185,844,25960,145700
2012,40,143,613816,1477,842,144544,135400
2012,40,145,75030,1206,874,22007,136400
2012,41,003,86430,2920,904,19227,275500
2012,41,005,383857,3367,1240,100603,281100
2012,41,017,162277,2500,1023,42364,235300
2012,41,019,107164,1398,765,29562,164800
2012,41,029,206412,2076,913,52457,199400
2012,41,033,82930,1328,840,21772,222000
2012,41,035,65912,1144,721,17994,140200
2012,41,039,354542,2168,924,85881,206600
2012,41,043,118360,2189,835,29677,166700
2012,41,047,319985,2251,923,69965,184300
2012,41,051,759256,2960,1118,164596,255600
2012,41,053,76353,2395,914,19255,212600
2012,41,059,76820,1758,744,17101,136700
2012,41,067,547672,3203,1255,120695,265100
2012,41,071,100255,2183,1136,23263,214700
2012,42,001,101482,2625,1009,29549,190900
2012,42,003,1229338,2629,817,339053,121900
2012,42,005,68409,1709,584,22110,94700
2012,42,007,170245,2062,709,51244,112100
2012,42,011,413491,3322,951,106733,166500
2012,42,013,127121,1079,642,35283,105300
2012,42,017,627053,4517,1415,180105,305600
2012,42,019,184970,2267,845,56457,173300
2012,42,021,141584,1211,588,44114,85400
2012,42,025,65006,2520,880,20003,144100
2012,42,027,155171,2458,966,34479,196100
2012,42,029,506575,4646,1530,140493,322900
2012,42,033,81184,1228,612,24985,86300
2012,42,037,66887,1455,671,18959,133400
2012,42,039,87598,1684,648,25773,104600
2012,42,041,238614,2394,959,67656,187000
2012,42,043,269665,2460,916,67247,158600
2012,42,045,561098,4489,1154,140093,233500
2012,42,049,280646,2083,715,71965,115200
2012,42,051,135660,1049,557,38969,85400
2012,42,055,151275,1964,826,41483,174500
2012,42,063,88218,1623,636,25715,104400
2012,42,069,214477,2149,737,55241,145000
2012,42,071,526823,2987,984,134085,188800
2012,42,073,89871,1515,653,27333,98900
2012,42,075,135251,2434,812,36872,162700
2012,42,077,355245,3382,1039,88986,191900
2012,42,079,321027,1918,725,83961,124000
2012,42,081,117168,1845,751,32158,130500
2012,42,085,115655,1517,654,33513,108200
2012,42,089,168798,3937,1246,44318,178400
2012,42,091,808460,4213,1398,221750,288500
2012,42,095,299267,3573,1115,79463,196900
2012,42,097,94428,1144,627,27256,100600
2012,42,101,1547607,1318,859,302551,142300
2012,42,107,147063,1520,654,43579,91600
2012,42,111,76957,1175,588,23988,99200
2012,42,125,208716,1682,695,63580,150600
2012,42,129,363395,1927,708,116782,128600
2012,42,133,437846,2921,991,125306,167400
2012,44,003,164843,3712,1301,48002,212900
2012,44,005,82036,4183,1249,21228,345500
2012,44,007,628323,3690,1012,128696,207500
2012,44,009,125946,4256,1385,36185,300000
2012,45,003,162812,616,677,47143,126100
2012,45,007,189355,701,679,53669,125400
2012,45,013,168049,1285,1035,45984,254400
2012,45,015,189781,775,984,45314,155600
2012,45,019,365162,1252,1062,85197,231800
2012,45,031,68139,388,570,17978,81200
2012,45,035,142496,1122,1062,35566,159100
2012,45,041,137948,491,686,34216,112400
2012,45,045,467605,1029,804,114669,154800
2012,45,047,69756,668,639,15816,97800
2012,45,051,282285,587,804,79058,154100
2012,45,057,79089,726,679,22580,131800
2012,45,059,66223,440,598,16859,78800
2012,45,063,270406,739,863,77800,141000
2012,45,073,74627,689,581,21678,140500
2012,45,075,91476,559,579,23481,82900
2012,45,077,119670,555,672,30222,118400
2012,45,079,393830,1168,902,86784,148700
2012,45,083,288745,737,708,73545,114800
2012,45,085,108052,599,710,25780,107700
2012,45,091,234635,1012,921,61417,155500
2012,46,099,175037,2115,830,41268,148900
2012,46,103,104347,2310,848,26176,158500
2012,47,001,75416,1014,602,20518,130800
2012,47,009,124177,942,752,36199,170000
2012,47,011,101134,775,698,25100,133800
2012,47,037,648295,1629,898,134543,166700
2012,47,059,68819,511,515,20721,108100
2012,47,065,345545,1401,804,85768,157800
2012,47,093,441311,1135,823,116276,157400
2012,47,113,98656,855,779,23471,111700
2012,47,119,81990,938,730,20545,129300
2012,47,125,184468,1243,895,38663,143500
2012,47,141,73229,905,633,18322,137500
2012,47,147,66931,1204,950,18665,147800
2012,47,149,274454,1215,978,64975,158800
2012,47,155,92512,639,723,24889,149900
2012,47,157,940764,1911,938,200856,129400
2012,47,163,156786,762,580,47434,119100
2012,47,165,166123,1221,952,43869,179100
2012,47,179,125094,902,682,34735,140000
2012,47,187,192911,2117,1427,52807,350400
2012,47,189,118961,1264,982,33037,188000
2012,48,005,87597,1179,656,19593,85600
2012,48,021,74763,2287,857,20504,117700
2012,48,027,323037,2241,871,59525,121200
2012,48,029,1785704,2588,892,354688,123000
2012,48,037,93148,1261,633,22145,94300
2012,48,039,324769,2884,969,77682,146900
2012,48,041,200665,3011,871,33254,157100
2012,48,061,415557,1357,589,77925,75700
2012,48,085,834642,4262,1384,197282,206700
2012,48,091,114384,2858,1017,32521,200300
2012,48,099,77231,1636,843,12633,100300
2012,48,113,2453843,2748,944,441904,128900
2012,48,121,707304,3819,1246,157579,183800
2012,48,135,144325,1220,729,34096,95500
2012,48,139,153969,2575,967,35913,140900
2012,48,141,827398,2315,752,158861,113200
2012,48,157,627293,4405,1405,155196,187000
2012,48,167,300484,2797,996,75233,145500
2012,48,181,121935,1710,748,33065,105100
2012,48,183,122658,1467,728,27602,109500
2012,48,187,139841,2661,997,36044,161000
2012,48,201,4253700,2898,982,802563,130900
2012,48,203,67450,1112,667,17694,101100
2012,48,209,168990,3602,1141,37764,178900
2012,48,213,79094,1159,632,21224,85100
2012,48,215,806552,1581,602,149877,80300
2012,48,231,87079,1458,701,20757,88700
2012,48,245,251813,1641,688,60475,97900
2012,48,251,153441,1980,926,38223,121000
2012,48,257,106753,2694,1019,27129,121400
2012,48,291,76571,1455,663,19673,84600
2012,48,303,285760,1958,828,60257,109300
2012,48,309,238707,1813,781,53156,104600
2012,48,329,146645,2118,889,34107,148900
2012,48,339,485047,3353,1098,122616,167500
2012,48,347,66034,858,620,13946,109800
2012,48,355,347691,2135,861,70760,113300
2012,48,361,82977,1334,642,23844,94900
2012,48,367,119712,2761,990,33759,158600
2012,48,375,122335,1430,676,24783,86900
2012,48,381,125082,2417,866,32968,140700
2012,48,397,83021,3890,1432,22396,187900
2012,48,409,65600,1547,777,16693,87600
2012,48,423,214821,1669,781,50120,121100
2012,48,439,1880153,3104,989,398083,135000
2012,48,441,133473,1516,738,27915,101700
2012,48,451,113281,1454,667,25028,104100
2012,48,453,1095584,4330,1156,213091,217600
2012,48,469,89269,1905,723,19996,110100
2012,48,471,68408,1713,752,11312,110300
2012,48,479,259172,2458,803,43670,106600
2012,48,485,131559,1801,749,28901,93700
2012,48,491,456232,3919,1256,104293,179600
2012,49,005,115520,1069,822,23752,189600
2012,49,011,315809,1541,1150,74902,213200
2012,49,035,1063842,1692,1095,230880,220400
2012,49,049,540504,1370,1109,96624,209200
2012,49,053,144809,1275,967,32841,182200
2012,49,057,236640,1337,914,57379,162900
2012,50,007,158504,4328,1273,40734,267100
2012,51,003,102251,2214,1177,25941,302300
2012,51,013,221045,4912,1857,40017,580400
2012,51,015,73658,925,818,23580,188500
2012,51,019,69590,965,815,23920,202600
2012,51,041,323856,1867,1268,88640,215700
2012,51,059,1118602,4659,1921,261125,483000
2012,51,061,66542,2944,1447,18609,352200
2012,51,069,80317,1210,1124,23204,215000
2012,51,085,100668,1833,1183,30120,247000
2012,51,087,314932,1713,1113,79161,207700
2012,51,095,68967,2304,1406,21765,299900
2012,51,107,336898,4925,2167,85854,428500
2012,51,121,95194,1586,837,18122,191200
2012,51,153,430289,3248,1760,94915,316500
2012,51,161,92901,1809,941,28076,181800
2012,51,165,77391,1127,829,22862,195800
2012,51,177,125684,1675,1408,32380,232100
2012,51,179,134352,2467,1777,33140,289900
2012,51,199,66146,2039,1415,15919,322900
2012,51,510,146294,4586,1625,26210,501200
2012,51,550,228417,2452,1388,56351,249300
2012,51,650,136836,1830,1042,30148,187700
2012,51,680,77113,1417,726,14614,143200
2012,51,700,180726,2253,1044,34967,194400
2012,51,710,245782,2045,1045,36584,193400
2012,51,740,96470,2065,1055,19107,171300
2012,51,760,210309,1971,937,36206,173000
2012,51,770,97469,1392,776,23180,132300
2012,51,800,85181,2017,1223,21819,235100
2012,51,810,447021,2249,1363,102326,259500
2012,53,005,182398,1889,872,45539,183000
2012,53,007,73687,2093,823,17963,245100
2012,53,009,71863,1956,754,21016,209400
2012,53,011,438287,2687,1157,102713,216300
2012,53,015,101996,2008,870,24830,169800
2012,53,021,85845,1903,949,15776,164700
2012,53,025,91723,1652,750,18427,149100
2012,53,027,71692,1651,703,19704,154500
2012,53,029,79177,2345,1060,21627,278000
2012,53,033,2007440,3796,1395,457472,353800
2012,53,035,254991,2697,1217,66361,255600
2012,53,041,75621,1686,822,20244,187500
2012,53,053,811681,2796,1228,182522,218000
2012,53,057,118222,2617,1054,30378,242600
2012,53,061,733036,3165,1395,178606,270600
2012,53,063,475735,2154,883,119019,174900
2012,53,067,258332,2586,1165,67658,228300
2012,53,073,205262,2290,1016,49232,255500
2012,53,077,246977,1604,828,48712,157900
2012,54,003,107098,1130,977,29175,154400
2012,54,011,96974,693,598,23858,109900
2012,54,033,69141,569,551,20605,89900
2012,54,039,192179,689,621,58264,97900
2012,54,061,100332,780,651,20217,163100
2012,54,081,79021,483,572,22714,101700
2012,54,107,86701,611,595,25272,103900
2012,55,009,253032,2984,862,63553,159200
2012,55,025,503523,4581,1101,122149,224900
2012,55,027,88415,3110,923,25382,153800
2012,55,035,100677,2813,776,24944,150000
2012,55,039,101843,2777,838,29114,141700
2012,55,055,84498,3419,999,23205,183000
2012,55,059,167936,3680,1029,41495,164900
2012,55,063,116461,3121,834,30109,157400
2012,55,071,80671,2489,725,25046,126900
2012,55,073,134735,2752,798,38250,143700
2012,55,079,955205,3918,876,190088,153200
2012,55,087,178816,2989,888,49848,155000
2012,55,089,86823,3816,1141,26901,241700
2012,55,097,70433,2545,742,19465,148400
2012,55,101,194797,3450,923,51845,162100
2012,55,105,160418,2841,849,42996,129300
2012,55,109,85242,3253,1220,25060,200800
2012,55,117,115009,2920,811,32777,145700
2012,55,127,102851,3449,970,26728,181100
2012,55,131,132661,3595,1063,40663,212000
2012,55,133,392292,4082,1224,116113,244100
2012,55,139,168794,2924,813,45373,144200
2012,55,141,74424,2158,671,23772,116700
2012,56,021,94483,1165,892,23766,181800
2012,56,025,78621,1112,799,21986,178600
2013,01,003,195540,596,803,48841,167500
2013,01,015,116736,440,578,29414,92900
2013,01,043,80811,439,683,24380,117400
2013,01,049,71013,342,537,16331,106800
2013,01,051,80902,387,810,19811,142000
2013,01,055,103931,442,599,28911,101900
2013,01,069,103668,387,681,25484,119900
2013,01,073,659479,912,845,160389,143300
2013,01,077,92797,567,604,26459,118600
2013,01,081,150933,791,819,32878,138100
2013,01,083,88845,466,689,25147,136600
2013,01,089,346892,742,820,90701,162300
2013,01,095,94760,476,621,24523,117100
2013,01,097,414079,661,786,98085,121200
2013,01,101,226659,471,828,52126,119000
2013,01,103,119787,483,622,33269,123600
2013,01,115,86308,450,745,26999,129300
2013,01,117,204180,943,1066,58235,192700
2013,01,121,81096,391,578,23726,93800
2013,01,125,200821,621,790,42796,152100
2013,01,127,65998,226,511,18378,82400
2013,02,020,300950,3978,1372,61373,295500
2013,02,090,100436,2798,1232,20807,218200
2013,02,170,95192,2551,1191,22964,220700
2013,04,001,71934,641,349,13677,93900
2013,04,003,129473,1118,710,34059,150000
2013,04,005,136539,1369,957,27914,204800
2013,04,013,4009412,1353,994,859362,185000
2013,04,015,203030,794,671,54283,123900
2013,04,017,107322,892,505,23649,98500
2013,04,019,996554,1624,836,237045,155300
2013,04,021,389350,1200,903,88799,135100
2013,04,025,215133,1255,824,60360,173500
2013,04,027,201201,936,775,48590,108800
2013,05,007,237297,1025,838,55865,143500
2013,05,031,101488,720,681,21228,128900
2013,05,045,119580,957,776,28250,139600
2013,05,051,97173,599,666,27646,121500
2013,05,069,73191,417,633,17881,78400
2013,05,085,70753,969,810,17563,133800
2013,05,119,391284,1087,810,90859,141700
2013,05,125,114404,948,773,32067,136600
2013,05,131,127342,779,645,29287,127600
2013,05,143,216410,1016,753,43546,148600
2013,05,145,78483,531,636,20381,103600
2013,06,001,1578891,4482,1549,288417,518900
2013,06,007,222090,1592,895,48961,217600
2013,06,013,1094205,3874,1619,247289,424100
2013,06,017,181737,2911,1345,48749,352900
2013,06,019,955272,1726,954,152766,185200
2013,06,023,134493,1758,908,28950,259500
2013,06,025,176584,1316,823,25644,148400
2013,06,029,864124,1777,962,137511,161000
2013,06,031,150960,1356,893,21090,169200
2013,06,033,63860,1517,970,16595,166400
2013,06,037,10017068,3394,1366,1477894,420200
2013,06,039,152389,1404,980,25570,174700
2013,06,041,258365,6532,2044,67526,784200
2013,06,045,87192,2065,966,19271,297600
2013,06,047,263228,1407,918,40650,147200
2013,06,053,428826,2582,1310,61919,363800
2013,06,055,140326,3440,1493,29568,443000
2013,06,057,98200,2825,1332,28215,337400
2013,06,059,3114363,3829,1674,577242,539000
2013,06,061,367309,3452,1543,92391,352500
2013,06,065,2292507,2509,1278,442179,236400
2013,06,067,1462131,2145,1159,282206,238000
2013,06,071,2088371,2007,1199,361591,230500
2013,06,073,3211252,3252,1473,576985,411000
2013,06,075,837442,5094,1640,127211,778000
2013,06,077,704379,2008,1127,119716,208900
2013,06,079,276443,3021,1275,59488,436000
2013,06,081,747373,5276,1913,156006,748300
2013,06,083,435697,3124,1425,73083,437300
2013,06,085,1862041,5432,1858,346701,682300
2013,06,087,269419,3769,1532,56426,535500
2013,06,089,178980,1628,949,42681,209700
2013,06,095,424788,2262,1408,84317,259800
2013,06,097,495025,3228,1422,110682,406900
2013,06,099,525491,1620,1039,94674,175000
2013,06,101,95350,1828,1038,18772,177800
2013,06,107,454143,1329,915,70872,160400
2013,06,111,839620,3503,1724,168134,443700
2013,06,113,204593,3046,1242,34816,331200
2013,06,115,73340,1590,995,14230,169800
2013,08,001,469193,1572,1107,100660,191900
2013,08,005,607070,1669,1201,141681,236400
2013,08,013,310048,2202,1299,78168,349100
2013,08,031,649495,1505,1039,139192,263900
2013,08,035,305963,2570,1683,85477,343800
2013,08,041,655044,1069,1096,150728,210200
2013,08,059,551798,1832,1196,155487,273100
2013,08,069,315988,1643,1098,80084,260100
2013,08,077,147554,1064,891,39620,204800
2013,08,101,161451,1009,799,39794,141000
2013,08,123,269785,1189,1032,64555,195200
2013,09,001,939904,6946,1732,222530,420600
2013,09,003,898272,4855,1219,223102,230300
2013,09,005,186924,4558,1235,56798,250500
2013,09,007,165562,5157,1322,49452,286100
2013,09,009,862287,5346,1221,198361,242000
2013,09,011,274150,4151,1249,70733,241100
2013,09,013,151377,4796,1336,37371,247700
2013,09,015,117604,3501,1098,30131,197300
2013,10,001,169416,927,1031,44636,192800
2013,10,003,549684,1680,1143,137992,241700
2013,10,005,206649,750,868,60419,222500
2013,11,001,646449,2693,1477,110513,470500
2013,12,001,253451,1838,840,51112,156400
2013,12,005,174987,978,874,38132,142800
2013,12,009,550823,1361,849,156275,135900
2013,12,011,1838844,2315,1198,417931,181000
2013,12,015,164736,1550,768,54274,138000
2013,12,017,139271,896,626,49925,107500
2013,12,019,196399,1408,1012,50828,145200
2013,12,021,339642,2108,1038,92720,260400
2013,12,023,67543,992,744,17571,97600
2013,12,031,885855,1441,980,198550,136000
2013,12,033,305817,899,831,70303,116900
2013,12,035,99956,1539,847,29588,162800
2013,12,053,174441,1034,705,51323,105100
2013,12,055,97616,823,460,30646,80500
2013,12,057,1291578,1704,984,277808,152900
2013,12,061,141994,1460,825,41217,151100
2013,12,069,308034,1347,794,88152,126800
2013,12,071,661115,1589,892,167114,154800
2013,12,073,281845,1770,937,56425,176100
2013,12,081,342106,1791,864,94679,160400
2013,12,083,337362,1186,676,98699,107100
2013,12,085,151263,2143,930,45138,191100
2013,12,086,2617176,2368,1148,446646,192500
2013,12,087,76351,2700,1230,16285,356200
2013,12,089,75710,1456,969,20874,161600
2013,12,091,193811,1331,1018,47027,184100
2013,12,095,1225267,1786,1050,230022,158100
2013,12,097,298504,1407,1017,54095,134800
2013,12,099,1372171,2544,1125,368559,193000
2013,12,101,475502,1220,793,135342,113700
2013,12,103,929048,1393,899,258226,138000
2013,12,105,623009,984,788,147213,101800
2013,12,107,72577,892,523,19670,83700
2013,12,109,209647,2575,1149,59691,238400
2013,12,111,286832,1802,910,71545,125700
2013,12,113,161096,1248,985,41627,156400
2013,12,115,390429,1724,878,125685,172600
2013,12,117,436041,1712,1084,101518,165200
2013,12,119,107056,1923,665,43215,218800
2013,12,127,500800,1390,848,137292,123400
2013,13,013,71453,1111,913,17393,112400
2013,13,015,101273,1032,824,22236,131400
2013,13,021,154721,1417,798,28497,123000
2013,13,031,71214,1101,723,12337,123400
2013,13,045,112355,926,782,25910,105600
2013,13,047,65311,1093,823,16532,135200
2013,13,051,278434,1700,948,56218,174800
2013,13,057,225106,1499,1217,58946,187300
2013,13,059,121265,1440,801,17060,141800
2013,13,063,264220,925,894,45305,78200
2013,13,067,717190,1543,1098,169662,182700
2013,13,073,135416,1751,1043,34035,173700
2013,13,077,133180,1574,1023,35162,175200
2013,13,089,713340,1725,1034,141670,154800
2013,13,095,92969,1388,669,15220,96900
2013,13,097,136379,1285,1006,31951,111600
2013,13,113,108365,2248,1210,30282,230300
2013,13,115,95821,1034,701,18579,115500
2013,13,117,195405,2024,1363,54515,253100
2013,13,121,984293,2502,1116,196245,231800
2013,13,127,81508,977,814,18943,146000
2013,13,135,859304,1967,1170,180578,159300
2013,13,139,187745,1376,895,38270,160900
2013,13,151,211128,1410,1135,53009,130600
2013,13,153,147658,1302,865,33069,128700
2013,13,179,64135,1561,946,10273,120500
2013,13,185,112916,1095,738,20358,125600
2013,13,215,202824,998,838,34600,134500
2013,13,217,102446,1226,1046,24444,103300
2013,13,223,146950,1186,1089,40147,124200
2013,13,245,202003,1121,781,36485,94800
2013,13,247,86919,1015,927,19610,129400
2013,13,285,69053,1210,795,13482,115200
2013,13,295,68198,688,624,18048,93300
2013,13,297,85754,1426,912,19715,139900
2013,13,313,102945,1000,702,20941,119800
2013,15,001,190821,791,1033,42876,291900
2013,15,003,983429,1617,1675,164417,573800
2013,15,007,69512,1163,1323,13802,498300
2013,15,009,160195,854,1345,31904,471800
2013,16,001,416464,1414,951,105966,180900
2013,16,005,83249,1280,693,19947,145300
2013,16,019,107517,1130,806,26144,153100
2013,16,027,198871,1125,775,43880,114100
2013,16,055,144265,1248,932,41538,170800
2013,16,083,79957,1119,773,19208,146100
2013,17,001,67130,1783,568,17320,108800
2013,17,019,204897,3116,832,44573,147300
2013,17,031,5240700,4584,1126,1093650,209700
2013,17,037,104741,4729,988,21274,160600
2013,17,043,932126,6146,1402,248721,271300
2013,17,089,523643,5587,1320,127284,201700
2013,17,091,112120,3030,852,28225,135100
2013,17,093,119348,5863,1583,30108,186200
2013,17,097,703019,6754,1415,179397,236600
2013,17,099,112183,2662,752,32256,121300
2013,17,111,307409,5739,1376,87251,196400
2013,17,113,174647,3618,913,44083,160300
2013,17,115,109278,2003,670,32038,96100
2013,17,119,267225,2424,836,74280,126300
2013,17,143,188429,2785,759,47721,124200
2013,17,161,147258,2477,729,40547,111100
2013,17,163,266955,2554,881,70086,119500
2013,17,167,199145,2503,820,57722,130900
2013,17,179,136352,2552,787,39586,130100
2013,17,183,80329,1353,584,22679,72000
2013,17,197,682829,5440,1393,181339,203000
2013,17,199,66924,1554,672,19929,102400
2013,17,201,290666,3492,854,75724,116600
2013,18,003,363014,1005,711,97637,110600
2013,18,005,79587,1220,788,21087,129800
2013,18,019,112938,1114,809,31182,121400
2013,18,035,117484,810,658,28841,85700
2013,18,039,200563,1113,740,49236,119300
2013,18,043,76244,1289,830,20793,155200
2013,18,053,69126,524,578,17673,77500
2013,18,057,296693,2226,1245,85128,225000
2013,18,059,71575,1440,959,20848,154900
2013,18,063,153879,1558,1064,44807,155900
2013,18,067,82760,638,655,23473,98000
2013,18,081,145535,1291,952,37027,139300
2013,18,085,77963,819,682,22695,128100
2013,18,089,491456,1616,866,127063,135800
2013,18,091,111281,1057,727,30249,125200
2013,18,095,130482,854,704,34249,96300
2013,18,097,928281,1206,830,191357,116300
2013,18,105,141888,1110,837,27575,158600
2013,18,109,69782,728,826,20310,135400
2013,18,127,166557,1620,962,47501,166200
2013,18,141,266709,1105,712,68990,104200
2013,18,157,180174,1101,823,35480,133300
2013,18,163,181398,940,720,45792,113600
